iter	RMSE
0	0.1826893022
1	0.167603833
2	0.1538942514
3	0.1428805614
4	0.1318036399
5	0.1209245206
6	0.1124104279
7	0.1035703167
8	0.09565781462
9	0.08808267341
10	0.08171876218
11	0.07527545606
12	0.07002681786
13	0.06479223359
14	0.05964956875
15	0.05540851126
16	0.05102668306
17	0.04717973548
18	0.04449909042
19	0.04121180025
20	0.03831258216
21	0.03545719463
22	0.03306090886
23	0.0309122517
24	0.0285753208
25	0.02652248914
26	0.02457681244
27	0.02283608009
28	0.02134091069
29	0.01992951183
30	0.01866157983
31	0.01746959598
32	0.01643163676
33	0.01536749792
34	0.01438835908
35	0.01354115
36	0.01276398537
37	0.0120947058
38	0.01150233618
39	0.01092841346
40	0.01037084567
41	0.009873705045
42	0.009430150939
43	0.009047730404
44	0.008677492291
45	0.008358545146
46	0.008090880517
47	0.007838983309
48	0.007570450785
49	0.007347207556
50	0.007154674011
51	0.00688688748
52	0.006713953843
53	0.00655772893
54	0.006391140364
55	0.006251855171
56	0.0061465315
57	0.006022098536
58	0.005914428933
59	0.005817018605
60	0.005740343676
61	0.005650400309
62	0.005600214102
63	0.005413718137
64	0.005363832736
65	0.005312376577
66	0.005201510477
67	0.005150036208
68	0.005022787245
69	0.004951830356
70	0.004915877452
71	0.004858052144
72	0.004750723632
73	0.004671223491
74	0.004639026209
75	0.004586851458
76	0.004559769061
77	0.004520427694
78	0.004473309989
79	0.004396344132
80	0.004347323373
81	0.004261441006
82	0.004229336365
83	0.004203729408
84	0.004177445943
85	0.004114700019
86	0.004055947362
87	0.003984964717
88	0.00396863758
89	0.003942559955
90	0.00389190173
91	0.003808882739
92	0.003759888547
93	0.003707969435
94	0.00366044493
95	0.003632092806
96	0.003619433597
97	0.003577136954
98	0.003530078857
99	0.003486415232
100	0.003462510074
101	0.003447559642
102	0.003428782628
103	0.00339969965
104	0.003367293753
105	0.003311681338
106	0.003292489426
107	0.003275094244
108	0.00326366812
109	0.003231588077
110	0.003213701869
111	0.003169742397
112	0.003141048527
113	0.003127877786
114	0.003093847106
115	0.003069695776
116	0.003054607795
117	0.003008000545
118	0.00297465999
119	0.002940823391
120	0.00292154957
121	0.002906145999
122	0.002895512817
123	0.002873712948
124	0.002861344174
125	0.002842050466
126	0.002827299215
127	0.002808376968
128	0.002782426009
129	0.00277181089
130	0.002753674524
131	0.002747239117
132	0.002721638669
133	0.002703075848
134	0.002692368504
135	0.002682711252
136	0.002670776557
137	0.002638174386
138	0.002628848465
139	0.002620360565
140	0.002597470486
141	0.002589386568
142	0.002576008761
143	0.002563795806
144	0.00254822467
145	0.002528930565
146	0.002517772098
147	0.002504296398
148	0.002488682051
149	0.002479283799
150	0.002473037662
151	0.00246339277
152	0.002440983826
153	0.002427279749
154	0.00241941364
155	0.002398077982
156	0.002389611311
157	0.002372037493
158	0.002364107538
159	0.002354629978
160	0.002338663902
161	0.002332466382
162	0.002314022423
163	0.002307603091
164	0.002295722979
165	0.002284725872
166	0.002279234752
167	0.002270978978
168	0.002262087192
169	0.002247307151
170	0.002242133201
171	0.002223096312
172	0.002209205921
173	0.002199950497
174	0.002191281875
175	0.002185296843
176	0.002173364659
177	0.002158041175
178	0.002147753671
179	0.00213459077
180	0.002126842438
181	0.002112521491
182	0.002098410358
183	0.002094231963
184	0.002089498892
185	0.002077173957
186	0.002065250947
187	0.002055846508
188	0.002041646888
189	0.002037177827
190	0.002031387445
191	0.00201812605
192	0.002009304918
193	0.001998321471
194	0.001989217718
195	0.001979329722
196	0.001967093183
197	0.001957575735
198	0.001949293755
199	0.001943381908
200	0.001938446318
201	0.001931011735
202	0.001921671406
203	0.001914438278
204	0.0019087882
205	0.001902509761
206	0.001897950302
207	0.001890602726
208	0.001882397883
209	0.00187699208
210	0.001871116248
211	0.001866193774
212	0.001860337243
213	0.001851432279
214	0.001843305422
215	0.001837571941
216	0.001827300102
217	0.001818041262
218	0.001812730315
219	0.001809265218
220	0.001804198024
221	0.001800039374
222	0.001795521923
223	0.001790529927
224	0.001784811226
225	0.001778586489
226	0.001770774939
227	0.001764998427
228	0.001761774862
229	0.001751360998
230	0.001744301678
231	0.001738789283
232	0.001733670898
233	0.001724904512
234	0.001722163118
235	0.001717089938
236	0.001709439572
237	0.001700638358
238	0.00169055835
239	0.001685929592
240	0.001681377354
241	0.001676669205
242	0.001674654327
243	0.001667919903
244	0.001663493657
245	0.001655306139
246	0.001651867451
247	0.001647487383
248	0.001643727099
249	0.001635812524
250	0.001633419837
251	0.001630827005
252	0.001627361839
253	0.001621901614
254	0.001618724216
255	0.001616851635
256	0.001615184026
257	0.001607350427
258	0.001602123917
259	0.001597485451
